days,go-commits,go-authors,rust-commits,rust-authors,swift-commits,swift-authors
947,6447,126,14287,163,3493,11
948,6460,127,14297,164,3499,11
949,6473,128,14314,165,3517,12
950,6475,128,14330,166,3529,12
951,6476,128,14362,166,3537,12
952,6476,128,14405,167,3540,12
953,6490,130,14442,168,3544,12
954,6503,130,14478,170,3557,12
955,6514,130,14485,170,3562,12
956,6524,130,14490,170,3577,12
957,6534,130,14511,170,3581,13
958,6534,130,14574,171,3592,13
959,6538,130,14620,171,3603,13
960,6550,132,14649,173,3604,13
961,6560,133,14680,173,3609,13
962,6575,133,14692,174,3613,13
963,6594,133,14700,174,3631,13
964,6605,133,14716,174,3645,13
965,6605,133,14726,174,3661,13
966,6606,133,14744,176,3663,13
967,6622,133,14767,177,3663,13
968,6635,133,14788,179,3668,13
969,6642,133,14795,181,3675,13
970,6655,133,14813,181,3679,13
971,6660,133,14840,182,3685,13
972,6666,133,14849,182,3700,13
973,6670,133,14866,183,3706,13
974,6687,133,14896,184,3709,13
975,6692,133,14919,185,3732,13
976,6699,133,14937,185,3748,13
977,6708,134,14962,185,3757,13
978,6726,136,14974,186,3769,13
979,6726,136,14995,187,3776,13
980,6726,136,15011,187,3776,13
981,6733,136,15030,187,3776,13
982,6738,136,15036,187,3784,13
983,6745,136,15047,187,3785,13
984,6751,136,15089,187,3792,13
985,6760,136,15112,188,3810,13
986,6761,136,15151,188,3818,13
987,6761,136,15169,189,3826,13
988,6761,136,15186,191,3826,13
989,6761,136,15210,191,3836,13
990,6764,136,15230,191,3843,13
991,6772,136,15250,192,3856,13
992,6776,136,15266,192,3857,13
993,6778,136,15287,192,3865,13
994,6778,136,15305,192,3874,13
995,6780,136,15330,192,3877,13
996,6782,136,15355,192,3884,13
997,6785,136,15361,192,3895,13
998,6785,136,15377,193,3915,13
999,6787,136,15387,193,3935,13
1000,6787,136,15417,194,3957,13
1001,6787,136,15445,194,3965,13
1002,6793,136,15464,195,3969,13
1003,6803,137,15481,195,3980,13
1004,6810,137,15486,195,3989,13
1005,6815,139,15490,195,4016,13
1006,6821,139,15496,195,4044,13
1007,6821,139,15517,195,4056,13
1008,6822,139,15544,195,4060,13
1009,6837,139,15577,195,4079,13
1010,6864,140,15610,195,4087,13
1011,6894,140,15617,196,4089,13
1012,6908,141,15631,196,4103,13
1013,6916,141,15653,196,4123,13
1014,6917,141,15691,197,4136,13
1015,6921,141,15727,197,4142,13
1016,6942,141,15766,197,4149,13
1017,6956,141,15785,197,4160,13
1018,6970,141,15798,197,4173,13
1019,6988,141,15809,197,4188,13
1020,6999,141,15828,197,4194,13
1021,6999,141,15842,197,4198,13
1022,6999,141,15862,201,4201,13
1023,7001,141,15875,203,4206,13
1024,7001,141,15885,203,4236,13
1025,7003,141,15895,203,4243,13
1026,7006,141,15911,207,4264,13
1027,7009,142,15928,208,4289,13
1028,7009,142,15947,210,4307,13
1029,7009,142,15967,210,4307,13
1030,7012,142,15980,211,4307,13
1031,7012,142,15996,213,4318,13
1032,7012,142,16004,213,4320,13
1033,7012,142,16018,213,4323,13
1034,7013,142,16035,214,4344,13
1035,7013,142,16050,214,4366,13
1036,7013,142,16072,214,4369,13
1037,7015,142,16118,216,4370,13
1038,7029,143,16147,216,4392,13
1039,7041,144,16172,216,4406,13
1040,7047,144,16180,216,4426,13
1041,7058,144,16221,217,4436,13
1042,7062,144,16243,217,4449,13
1043,7063,144,16271,218,4478,13
1044,7068,144,16282,218,4488,13
1045,7090,146,16309,219,4489,13
1046,7100,146,16328,219,4494,13
1047,7113,146,16338,219,4519,13
1048,7122,146,16368,219,4538,13
1049,7124,146,16406,220,4551,13
1050,7125,146,16434,221,4554,13
1051,7127,146,16480,222,4554,13
1052,7143,147,16522,222,4561,13
1053,7179,151,16538,222,4568,14
1054,7204,152,16551,222,4578,14
1055,7213,152,16584,222,4593,14
1056,7215,152,16621,223,4611,14
1057,7215,152,16657,225,4624,14
1058,7225,153,16689,226,4628,14
1059,7236,154,16710,227,4634,14
1060,7253,154,16729,228,4645,14
1061,7262,154,16751,228,4645,14
1062,7270,154,16772,228,4648,14
1063,7273,154,16809,228,4655,14
1064,7277,154,16830,229,4666,14
1065,7293,154,16853,229,4673,14
1066,7321,155,16882,230,4689,14
1067,7340,155,16916,230,4705,14
1068,7361,157,16955,230,4729,14
1069,7373,157,16972,230,4747,14
1070,7377,157,16995,231,4772,14
1071,7377,157,17019,231,4778,15
1072,7385,157,17052,231,4783,16
1073,7398,157,17069,233,4800,16
1074,7417,157,17084,234,4811,16
1075,7427,157,17093,234,4828,16
1076,7445,158,17116,235,4854,16
1077,7447,158,17140,237,4881,17
1078,7448,158,17170,237,4886,17
1079,7455,158,17202,238,4903,17
1080,7460,158,17216,238,4943,17
1081,7484,159,17238,238,4950,17
1082,7495,159,17246,238,4961,17
1083,7505,159,17260,238,4975,17
1084,7511,159,17273,238,5002,18
1085,7512,159,17292,239,5011,18
1086,7513,159,17317,240,5011,18
1087,7531,161,17348,240,5037,18
